date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:48:51	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2012%20Jul%202023%2003:48:50%20GMT	https://www.microsoft.com/	C:/My%20Web%20Sites/Ogartiub%20Corporation/www.microsoft.com/index.html	(from )
23:48:51	1323/1323	---M-Z	200	added ('OK')	text/plain	date:Wed,%2012%20Jul%202023%2003:48:50%20GMT	https://www.microsoft.com/robots.txt		(from )
23:48:52	132648/132648	---M-Z	200	added ('OK')	text/html	etag:%2217019b2b34a3a9bee15b0df36cf2dd5b-gzip%22	https://www.microsoft.com/es-bo/	C:/My%20Web%20Sites/Ogartiub%20Corporation/www.microsoft.com/es-bo/index.html	(from https://www.microsoft.com/)
23:48:52	17174/17174	---M--	200	added ('OK')	image/x-icon	etag:%221D99FD2219C9A00%22	https://www.microsoft.com/favicon.ico?v2	C:/My%20Web%20Sites/Ogartiub%20Corporation/www.microsoft.com/favicon1b26.ico	(from https://www.microsoft.com/es-bo/)
23:48:52	132648/132648	---M-Z	200	added ('OK')	text/html	etag:%22dfa0d66ca30a4a0b26b358c7c82dd887-gzip%22	https://www.microsoft.com/es-bo	C:/My%20Web%20Sites/Ogartiub%20Corporation/www.microsoft.com/es-bo.html	(from https://www.microsoft.com/es-bo/)
23:48:53	361473/361473	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Jun%202023%2017:58:54%20GMT	https://www.microsoft.com/etc.clientlibs/microsoft/clientlibs/clientlib-mwf-new/main-light.min.ACSHASH4c27348ffc095e0848f7ea06b415d7ab.css	C:/My%20Web%20Sites/Ogartiub%20Corporation/www.microsoft.com/etc.clientlibs/microsoft/clientlibs/clientlib-mwf-new/main-light.min.ACSHASH4c27348ffc095e0848f7ea06b415d7ab.css	(from https://www.microsoft.com/es-bo/)
23:48:53	318229/318229	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Jun%202023%2017:59:23%20GMT	https://www.microsoft.com/etc.clientlibs/cascade.component.authoring/clientlibs/clientlib-base.min.ACSHASHc5871451778c8e6454258da6f73224b7.css	C:/My%20Web%20Sites/Ogartiub%20Corporation/www.microsoft.com/etc.clientlibs/cascade.component.authoring/clientlibs/clientlib-base.min.ACSHASHc5871451778c8e6454258da6f73224b7.css	(from https://www.microsoft.com/es-bo/)
23:48:53	406/406	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Jun%202023%2017:59:24%20GMT	https://www.microsoft.com/etc.clientlibs/cascade.component.authoring/clientlibs/clientlib-uhf.min.ACSHASHf9f2395c582fa601707b7a5dfae9f05f.css	C:/My%20Web%20Sites/Ogartiub%20Corporation/www.microsoft.com/etc.clientlibs/cascade.component.authoring/clientlibs/clientlib-uhf.min.ACSHASHf9f2395c582fa601707b7a5dfae9f05f.css	(from https://www.microsoft.com/es-bo/)
23:48:53	156455/156455	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2030%20Jun%202023%2008:27:52%20GMT	https://www.microsoft.com/etc.clientlibs/microsoft/clientlibs/clientlib-polyfills/resources/ie11-polyfills.js	C:/My%20Web%20Sites/Ogartiub%20Corporation/www.microsoft.com/etc.clientlibs/microsoft/clientlibs/clientlib-polyfills/resources/ie11-polyfills.js	(from https://www.microsoft.com/es-bo/)
23:48:53	92962/92962	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2028%20Jun%202023%2017:59:24%20GMT	https://www.microsoft.com/etc.clientlibs/cascade.component.authoring/clientlibs/clientlib-jquery.min.ACSHASH35986a813756f39ab6b922979ffedb03.js	C:/My%20Web%20Sites/Ogartiub%20Corporation/www.microsoft.com/etc.clientlibs/cascade.component.authoring/clientlibs/clientlib-jquery.min.ACSHASH35986a813756f39ab6b922979ffedb03.js	(from https://www.microsoft.com/es-bo/)
23:48:54	1418/1418	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2028%20Jun%202023%2017:59:23%20GMT	https://www.microsoft.com/etc.clientlibs/cascade.component.authoring/clientlibs/clientlib-jquery-cookie.min.ACSHASH20aafdf6904d3dc5db0e0e33abbfc1a4.js	C:/My%20Web%20Sites/Ogartiub%20Corporation/www.microsoft.com/etc.clientlibs/cascade.component.authoring/clientlibs/clientlib-jquery-cookie.min.ACSHASH20aafdf6904d3dc5db0e0e33abbfc1a4.js	(from https://www.microsoft.com/es-bo/)
23:48:54	1716/1716	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2027%20Jul%202022%2017:43:42%20GMT	https://www.microsoft.com/etc.clientlibs/microsoft/clientlibs/exp-analytics/v1.min.ACSHASH4cffc2c9b55f8bde649e0d2535a1eebd.js	C:/My%20Web%20Sites/Ogartiub%20Corporation/www.microsoft.com/etc.clientlibs/microsoft/clientlibs/exp-analytics/v1.min.ACSHASH4cffc2c9b55f8bde649e0d2535a1eebd.js	(from https://www.microsoft.com/es-bo/)
23:48:54	3369/3369	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2028%20Jun%202023%2017:59:56%20GMT	https://www.microsoft.com/etc.clientlibs/microsoft/clientlibs/exp-cookiecomp/v1.min.ACSHASH977ab2732aa8cb654ccd4e6e2d620326.js	C:/My%20Web%20Sites/Ogartiub%20Corporation/www.microsoft.com/etc.clientlibs/microsoft/clientlibs/exp-cookiecomp/v1.min.ACSHASH977ab2732aa8cb654ccd4e6e2d620326.js	(from https://www.microsoft.com/es-bo/)
23:48:54	168/168	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2012%20Jul%202023%2003:48:53%20GMT	https://www.microsoft.com/microsoft-365	C:/My%20Web%20Sites/Ogartiub%20Corporation/www.microsoft.com/microsoft-365	(from https://www.microsoft.com/es-bo/)
